timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-01-01 00:00:00,16541.77,16545.7,16508.39,16529.67,4364.8357,1672534799999,72146293.58672290,149854,2179.94772000,36032352.87035720,0
2023-01-01 01:00:00,16529.59,16556.8,16525.78,16551.47,3590.06669,1672538399999,59376757.34460920,126556,1730.24901000,28617416.00486430,0
2023-01-01 02:00:00,16551.47,16559.77,16538.14,16548.19,3318.84038,1672541999999,54919453.37562130,115398,1611.12302000,26660867.86773650,0
2023-01-01 03:00:00,16548.19,16548.19,16518.21,16533.04,4242.0805,1672545599999,70122541.93745440,137724,2096.09287000,34649044.48513040,0
2023-01-01 04:00:00,16533.04,16535.97,16511.92,16521.85,4285.00909,1672549199999,70802644.47814460,129535,2188.40175000,36159818.02407120,0
2023-01-01 05:00:00,16522.22,16534.98,16512.3,16530.71,3717.37178,1672552799999,61412217.12737770,118541,1925.65583000,31812891.58545620,0
2023-01-01 06:00:00,16530.71,16550.0,16528.81,16539.79,3344.90206,1672556399999,55329560.65345110,106074,1625.16179000,26882457.05764090,0
2023-01-01 07:00:00,16539.79,16544.57,16499.01,16526.19,5184.95822,1672559999999,85663591.92969890,148545,2476.59015000,40917573.36529450,0
2023-01-01 08:00:00,16525.7,16534.03,16508.45,16513.34,4271.92023,1672563599999,70568383.45778270,135605,2092.40270000,34565020.09401380,0
2023-01-01 09:00:00,16513.33,16542.49,16505.2,16537.88,4100.75049,1672567199999,67754195.98220900,134070,2103.34139000,34752675.68975700,0
2023-01-01 10:00:00,16538.32,16548.71,16533.42,16548.34,3803.76616,1672570799999,62913519.97603100,128045,1938.08864000,32055964.44901400,0
2023-01-01 11:00:00,16547.98,16557.0,16540.2,16556.66,3739.53013,1672574399999,61883892.78027370,134038,1870.39915000,30952930.37020250,0
2023-01-01 12:00:00,16556.66,16572.94,16548.58,16560.93,4150.48564,1672577999999,68733338.05554510,146800,2064.92986000,34196174.00665220,0
2023-01-01 13:00:00,16561.29,16567.26,16539.05,16548.04,4379.68203,1672581599999,72483198.30946180,151206,2132.25783000,35289079.89610300,0
2023-01-01 14:00:00,16547.61,16558.56,16540.85,16542.94,3294.99093,1672585199999,54535015.54235220,110412,1660.99212000,27491283.04999730,0
2023-01-01 15:00:00,16542.94,16559.99,16533.68,16558.73,3220.93236,1672588799999,53292963.47748780,112258,1657.51542000,27425404.58878080,0
2023-01-01 16:00:00,16558.73,16584.66,16558.0,16565.14,4962.13235,1672592399999,82217236.16061480,152217,2514.82348000,41668653.80991730,0
2023-01-01 17:00:00,16565.13,16596.64,16562.51,16578.85,4714.40354,1672595999999,78161014.35189550,151893,2395.66351000,39718756.79263690,0
2023-01-01 18:00:00,16579.25,16603.89,16578.85,16591.88,4146.37245,1672599599999,68800698.89143660,141406,2156.10882000,35776785.97295470,0
2023-01-01 19:00:00,16591.35,16623.65,16591.34,16603.08,4709.74023,1672603199999,78223013.12081980,148980,2370.80934000,39376884.94595430,0
2023-01-01 20:00:00,16603.53,16628.0,16600.55,16604.51,4189.05318,1672606799999,69590383.53779230,147849,2126.61170000,35328801.30161050,0
2023-01-01 21:00:00,16604.51,16608.83,16592.63,16606.68,3656.77804,1672610399999,60709003.94278330,136504,1858.75074000,30858901.46496090,0
2023-01-01 22:00:00,16607.02,16613.85,16586.24,16602.12,3690.19661,1672613999999,61254180.74634800,126447,1866.90555000,30989586.38986910,0
2023-01-01 23:00:00,16602.39,16625.0,16600.8,16616.75,3846.61495,1672617599999,63900690.91129890,128398,1905.95929000,31662349.75208320,0
2023-01-02 00:00:00,16617.17,16629.05,16581.25,16588.35,4327.06948,1672621199999,71832138.46919720,149018,2028.47026000,33673522.94941990,0
2023-01-02 01:00:00,16587.97,16589.2,16548.7,16565.04,5791.85443,1672624799999,95944925.04551100,180925,2816.37831000,46655451.06521880,0
2023-01-02 02:00:00,16565.03,16595.92,16555.0,16587.85,3150.41571,1672628399999,52224888.11201060,118824,1598.52947000,26499301.00281090,0
2023-01-02 03:00:00,16587.99,16707.25,16581.8,16661.94,6194.13548,1672631999999,103030651.25255820,171225,3277.32371000,54517255.70822900,0
2023-01-02 04:00:00,16662.38,16674.84,16629.29,16639.44,4983.39445,1672635599999,82956333.18928610,168122,2424.93966000,40367608.19798810,0
