datetime,open,high,low,close
2023-01-01 00:00:00,16528.0293,16533.83984,16499.61914,16522.0293
2023-01-01 01:00:00,16520.26953,16546.01953,16519.13086,16544.56055
2023-01-01 02:00:00,16544.63086,16549.64062,16529.55078,16537.23047
2023-01-01 03:00:00,16537.9707,16538.59961,16511.92969,16524.18945
2023-01-01 04:00:00,16524.30078,16524.75977,16505.65039,16508.80078
2023-01-01 05:00:00,16508.9707,16523.75,16504.38086,16523.10938
2023-01-01 06:00:00,16522.58008,16540.57031,16521.08008,16532.10938
2023-01-01 07:00:00,16532.0293,16534.0,16492.9707,16518.56055
2023-01-01 08:00:00,16516.48047,16523.41992,16498.83984,16502.53906
2023-01-01 09:00:00,16504.2207,16532.88086,16497.40039,16532.88086
2023-01-01 10:00:00,16532.08984,16537.74023,16524.50977,16535.05078
2023-01-01 11:00:00,16535.19922,16547.75,16533.17969,16547.58008
2023-01-01 12:00:00,16547.28906,16563.9707,16543.80078,16554.31055
2023-01-01 13:00:00,16553.9707,16558.66016,16531.07031,16539.15039
2023-01-01 14:00:00,16538.93945,16550.24023,16533.89062,16534.08008
2023-01-01 15:00:00,16534.82031,16551.2793,16526.25977,16551.16992
2023-01-01 16:00:00,16551.16992,16571.48047,16550.66992,16555.5
2023-01-01 17:00:00,16554.60938,16587.90039,16554.60938,16570.4707
2023-01-01 18:00:00,16570.96094,16593.76953,16570.96094,16584.26953
2023-01-01 19:00:00,16583.11914,16615.28906,16583.11914,16593.41016
2023-01-01 20:00:00,16597.2207,16616.44922,16593.41016,16600.35938
2023-01-01 21:00:00,16600.40039,16602.65039,16587.35938,16601.01953
2023-01-01 22:00:00,16601.18945,16606.7207,16585.9707,16596.71094
2023-01-01 23:00:00,16596.68945,16617.63086,16596.2207,16611.53906
2023-01-02 00:00:00,16611.58008,16622.08008,16577.81055,16581.57031
2023-01-02 01:00:00,16582.35938,16583.0293,16546.51953,16558.67969
2023-01-02 02:00:00,16558.41016,16585.93945,16548.5,16580.50977
2023-01-02 03:00:00,16580.5,16689.50977,16577.09961,16657.83984
2023-01-02 04:00:00,16647.53906,16667.32031,16625.21094,16627.05078
2023-01-02 05:00:00,16628.08984,16653.49023,16612.68945,16638.7793
2023-01-02 06:00:00,16640.73047,16652.7207,16628.51953,16633.7793
2023-01-02 07:00:00,16633.69922,16752.49023,16630.7207,16713.64062
2023-01-02 08:00:00,16714.43945,16757.74023,16703.99023,16726.38086
2023-01-02 09:00:00,16728.91992,16736.10938,16706.18945,16711.2793
2023-01-02 10:00:00,16711.25977,16753.11914,16708.07031,16721.00977
2023-01-02 11:00:00,16721.06055,16734.0293,16702.05078,16728.73047
2023-01-02 12:00:00,16730.10938,16736.86914,16713.58984,16714.2207
2023-01-02 13:00:00,16713.53906,16717.40039,16682.71094,16693.06055
2023-01-02 14:00:00,16690.35938,16703.33984,16670.50977,16691.28906
2023-01-02 15:00:00,16694.16016,16740.85938,16687.16992,16723.84961
2023-01-02 16:00:00,16723.93945,16732.93945,16704.33008,16711.15039
2023-01-02 17:00:00,16706.19922,16716.25,16702.30078,16709.13086
2023-01-02 18:00:00,16708.57031,16723.48047,16701.31055,16714.60938
2023-01-02 19:00:00,16716.08984,16729.34961,16709.42969,16729.34961
2023-01-02 20:00:00,16728.41992,16730.18945,16702.85938,16723.99023
2023-01-02 21:00:00,16723.34961,16759.65039,16715.69922,16759.65039
2023-01-02 22:00:00,16751.4707,16755.28906,16689.07031,16691.63086
2023-01-02 23:00:00,16691.66016,16715.19922,16664.98047,16668.73047
2023-01-03 00:00:00,16666.94922,16699.98047,16651.19922,16693.16016
2023-01-03 01:00:00,16694.58008,16694.58008,16652.08984,16673.10938
2023-01-03 02:00:00,16672.4707,16683.25977,16667.67969,16670.96094
2023-01-03 03:00:00,16668.75977,16693.31055,16662.38086,16687.19922
2023-01-03 04:00:00,16687.17969,16693.18945,16677.06055,16680.34961
2023-01-03 05:00:00,16681.34961,16719.57031,16678.17969,16716.25977
2023-01-03 06:00:00,16719.98047,16767.15039,16719.57031,16721.5293
2023-01-03 07:00:00,16721.67969,16726.9707,16704.50977,16724.93945
2023-01-03 08:00:00,16726.92969,16730.38086,16695.44922,16711.25
2023-01-03 09:00:00,16712.67969,16748.99023,16710.66992,16736.08008
2023-01-03 10:00:00,16730.03906,16744.15039,16717.19922,16717.19922
